ulasan_bersih,sentimen
gojek udah ga kayak dlu skrg ongkirnya mahal ongkir gofood untuk jarak  km kayak ongkir untuk jarak km trus ditambah ada biaya layanan juga kalo pake mode hemat prosesnya lama banget blm lagi nunggu dapet drivernya trus untuk goride kadang susah dpt drivernya padahal di lokasi sekitar ada banyak driver aplikasi juga sering error,negatif
setelah update jadi ngelag dan banyak bug saya tidak bisa menambah alamat baru setelah di set tidak ada respon dari aplikasi saat pesan makanan juga jarak antar menu jadi sangat berjauhan dan saat buka pilihan menu tidak muncul pop up seperti biasa saat saya tekan tutup juga tidak ada respon saat tekan kembali dari menu resto ke halaman awal juga tidak bisa harus di force close dahulu device saya huawei nova t,negatif
tolong untuk go food bagian terdekat enak yang dulu pakai jarak jadi bisa tahu restomakanan terdekat sama jarak nya kalau yang sekarang pakai  menit gak di urutkan dari jaraknya malah gak nemu resto terdekat sama sekali soalnya saya lumayan jauh kalau dari tempattempat beli gak hapal resto terdekat yang mana tolong kembalikan saja bagian jarak seperti sebelumnya terima kasih,negatif
search alamatnya payah👎 pas dicari lewat mapnya bisa ketemu jalan dll tapi kalo diketik sendiri malah gk ada payah banget👎 padahal saya mau nyari alamat yg jaraknya jauh ya gila aja kali mau dicari scroll lewat map🤦‍♂️ serius fitur navigasi terbodoh yang pernah saya alami,negatif
ui doang bagus ux nya jelek parah aplikasi gofoodnya bikin bingung mau ngapus pesanan aja ribet bgt malah kepencet pesan ga tau bug atau gimana minimal kasih pin lah biar ga langsung ke order mau di cancel juga ga enak sama drivernya,negatif
setelah ada update beberapa x malah makin hancur mau order makanan di resto tp buka menunya saja lemotttt berattttt sekali gimana mau pilih menu kalau buka menu aja lama lemot berat makin kesini makin kesono malah makin makain aja hufffftttt,negatif
saya pelanggan goride utk jarak pendek namun akhir ini ndak nyaman dengan rekomendasi driver yg jarak jemputnya jauh banget nyaris sama kadang juga melebihi separuh jarak nganternya secara agregat merugikan bahan bakar n waktu tunggu,positif
aplikasi tiada guna bayar pajak kendaraan status dalam proses selama  hari dikomplain tidak ada respon kemudian transaksi dibatalkan sepihak oleh gojek pembayaran pajak kendaraan jadi telat  hari  kena denda rp  pengalaman menyesakkan akhirnya bayar di tokopedia instan langsung berhasil tapi dendanya masih nyesek,negatif
lebih baik di benahin deh  makin lama harusnya makin baik dan profesional ini ngga knapa kalo mau beli makanan sulit bgt dpt driver padahal cuaca ngga ujan rumah juga ditengah kota merugikan bgt udah di acc resto tpi nunggu driver lama bgt bisa smpe  menit akhirnya batal kan buang waktu mana lagi laper,negatif
tolong dong sampein ke para driver kalo emang belom siap buat jalan gausah dinyalain aplikasinya customer udah nunggu lama drivernya masih diem ditempat aja estimasi driver sampe menit tapi driver dateng lebih dari  menit giliran di cancel malah dapet driver yang makin jauh,negatif
